story_id,clause_idx,clause_text,mode_label,top_count,Orientation,Action,Evaluation,Not Story,partition,narrators_gender
0,0,"In college, I was figuring my life out.",Orientation,1,1,1,1,0,val,Male
0,1,I didn't have an exact plan in terms of what I wanted to do.,Evaluation,2,1,0,2,0,val,Male
0,2,Everybody that acted in the capacity of a guidance counselor to me helped mold me into where I am today.,Orientation,1,1,1,1,0,val,Male
0,3,"For instance, when I was in high school, my guidance counselor told me",Action,3,0,3,0,0,val,Male
0,4,", Chris, based on what I know about you, I know you love to be in big cities.",Evaluation,3,0,0,3,0,val,Male
0,5,I know you love to study human behavior and psychology.,Evaluation,3,0,0,3,0,val,Male
0,6,We discussed where I might end up in college,Action,3,0,3,0,0,val,Male
0,7,", so I chose to go to NYU based on that feedback.",Action,3,0,3,0,0,val,Male
0,8,"And when I got my first job in marketing analytics, it's when I realized that hey, this is really cool, I actually really like this.",Evaluation,2,0,1,2,0,val,Male
0,9,Don't feel like you have to know all the answers right now.,Evaluation,2,1,0,2,0,val,Male
0,10,"The more strict you are in terms of what you think you want to do, plus options you'll have.",Evaluation,3,0,0,3,0,val,Male
0,11,So think outside the box and keep an open mind.,Evaluation,1,1,1,1,0,val,Male
1,0,My name is I'm a professor at Harvard Business School and Harvard Law School.,Orientation,3,3,0,0,0,val,Male
1,1,I teach finance at the business school.,Orientation,3,3,0,0,0,val,Male
1,2,And I teach taxation and tax policy at the law school.,Orientation,3,3,0,0,0,val,Male
1,3,I've been on the faculty for about 19 years.,Orientation,3,3,0,0,0,val,Male
1,4,So the really fun thing about teaching is it's a way to learn things.,Evaluation,2,0,1,2,0,val,Male
1,5,So when I teach something is when I understand the deeper.,Action,1,1,1,1,0,val,Male
1,6,And so I just have really come to love it,Evaluation,3,0,0,3,0,val,Male
1,7," and I think as I've gotten older, I value it even more and more.",Evaluation,3,0,0,3,0,val,Male
1,8,Teaching has become a bigger and bigger part of my life.,Evaluation,2,0,1,2,0,val,Male
1,9,I can't say there was like some grand design.,Orientation,2,2,1,0,0,val,Male
1,10,There certainly wasn't.,Orientation,2,2,1,0,0,val,Male
1,11,I'm not one of those people who saw my future with precision and was simply going down a path with clarity.,Evaluation,2,1,0,2,0,val,Male
1,12,That's just not the way I was.,Evaluation,3,0,0,3,0,val,Male
1,13,And in fact when I was doing my PhD was the worst.,Evaluation,2,0,1,2,0,val,Male
1,14,Because I had gone to business school.,Action,3,0,3,0,0,val,Male
1,15,People I graduated with from business school are out there in the world making money,Orientation,1,1,1,1,0,val,Male
1,16,and I was not.,Action,3,0,3,0,0,val,Male
